,ALTRED COLLECTION DATE,COLLECTION DATE
3792,2014-07-25,07/25/14
3793,2014-07-25,07/25/14
3794,2014-07-25,07/25/14
3795,2014-08-10,08/10/14
3796,2014-07-25,07/25/14
3797,2014-08-11,08/11/14
3798,2014-08-11,08/11/14
3799,2014-01-28,01/28/14
3800,2014-01-28,01/28/14
3801,2014-04-07,04/07/14
3802,2014-04-07,04/07/14
3803,2014-01-28,01/28/14
3804,2014-01-28,01/28/14
3805,2014-01-28,01/28/14
3806,2014-01-28,01/28/14
3807,2014-04-06,04/06/14
3808,2014-04-06,04/06/14
3809,2014-04-06,04/06/14
3810,2014-04-06,04/06/14
3811,2014-04-07,04/07/14
3812,2014-04-07,04/07/14
3813,2014-04-07,04/07/14
3814,2014-04-07,04/07/14
3815,2014-08-16,08/16/14
3816,2014-08-16,08/16/14
3817,2014-08-16,08/16/14
3818,2014-08-16,08/16/14
3819,2014-08-16,08/16/14
3820,2014-08-16,08/16/14
3821,2014-08-16,08/16/14
3822,2014-08-16,08/16/14
3823,2014-08-16,08/16/14
3824,2014-08-16,08/16/14
3825,2014-01-26,01/26/14
3826,2014-01-26,01/26/14
3827,2014-01-26,01/26/14
3828,2014-01-26,01/26/14
3829,2014-01-26,01/26/14
3830,2014-01-26,01/26/14
3831,2014-01-26,01/26/14
3832,2014-01-26,01/26/14
3833,2014-01-26,01/26/14
3834,2014-01-26,01/26/14
3835,2014-08-12,08/12/14
3836,2014-08-12,08/12/14
3837,2014-08-12,08/12/14
3838,2014-08-12,08/12/14
3839,2014-08-12,08/12/14
3840,2014-08-12,08/12/14
3841,2014-08-12,08/12/14
3842,2014-08-12,08/12/14
3843,2014-08-12,08/12/14
3844,2014-08-12,08/12/14
3845,2014-08-14,08/14/14
3846,2014-08-14,08/14/14
3847,2014-04-06,04/06/14
3848,2014-04-05,04/05/14
3849,2014-07-21,07/21/14
3850,2014-04-06,04/06/14
3851,2014-01-26,01/26/14
3852,2014-01-26,01/26/14
3853,2014-08-12,08/12/14
3854,2014-08-11,08/11/14
3855,2014-04-05,04/05/14
3856,2014-04-05,04/05/14
3857,2014-04-05,04/05/14
3858,2014-04-05,04/05/14
3859,2014-01-28,01/28/14
3860,2014-08-12,08/12/14
3861,2014-08-12,08/12/14
3862,2014-08-12,08/12/14
3863,2014-08-14,08/14/14
3864,2014-08-12,08/12/14
3865,2014-08-12,08/12/14
3866,2014-08-12,08/12/14
3867,2013-09-23,09/23/13
3868,2013-09-23,09/23/13
3869,2013-09-07,09/07/13
3870,2013-09-08,09/08/13
3871,2013-10-27,10/27/13
3872,2013-10-27,10/27/13
3873,2013-09-23,09/23/13
3874,2013-10-27,10/27/13
3875,2014-08-12,08/12/14
3876,2014-01-26,01/26/14
3877,2014-01-26,01/26/14
3878,2014-01-26,01/26/14
3879,2014-01-26,01/26/14
3880,2014-01-26,01/26/14
3881,2014-01-28,01/28/14
3882,2014-01-28,01/28/14
3883,2014-01-28,01/28/14
3884,2014-01-28,01/28/14
3885,2015-06-02,06/02/15
3886,2015-06-02,06/02/15
3887,2015-06-02,06/02/15
3888,2015-06-02,06/02/15
3889,2015-06-02,06/02/15
3890,2015-06-02,06/02/15
3891,2015-06-02,06/02/15
3892,2015-06-02,06/02/15
3893,2015-06-02,06/02/15
3894,2015-06-02,06/02/15
3895,2015-06-02,06/02/15
3896,2015-06-02,06/02/15
3897,2015-06-02,06/02/15
3898,2015-06-02,06/02/15
3899,2015-06-02,06/02/15
3900,2015-06-02,06/02/15
3901,2015-06-02,06/02/15
3902,2015-06-02,06/02/15
3903,2015-06-02,06/02/15
3904,2015-06-02,06/02/15
3905,2015-06-02,06/02/15
3906,2015-06-02,06/02/15
3907,2015-06-02,06/02/15
3908,2015-06-02,06/02/15
3909,2015-06-02,06/02/15
3910,2015-06-02,06/02/15
3911,2015-06-02,06/02/15
3912,2015-06-02,06/02/15
3913,2015-06-02,06/02/15
3914,2015-06-02,06/02/15
3915,2015-06-02,06/02/15
3916,2015-06-02,06/02/15
3917,2015-06-02,06/02/15
3918,2015-06-02,06/02/15
3919,2015-06-02,06/02/15
3920,2015-06-02,06/02/15
3921,2015-06-02,06/02/15
3922,2015-06-02,06/02/15
3923,2015-06-02,06/02/15
3924,2015-06-02,06/02/15
3925,2015-06-02,06/02/15
3926,2015-06-02,06/02/15
3927,2015-06-02,06/02/15
3928,2015-06-02,06/02/15
3929,2015-06-02,06/02/15
3930,2015-06-02,06/02/15
3931,2015-06-02,06/02/15
3932,2015-06-02,06/02/15
3933,2015-06-02,06/02/15
3934,2015-06-02,06/02/15
3935,2015-06-02,06/02/15
3936,2015-06-02,06/02/15
3937,2015-06-02,06/02/15
3938,2015-06-02,06/02/15
3939,2015-06-02,06/02/15
3940,2015-06-02,06/02/15
3941,2015-06-02,06/02/15
3942,2015-06-02,06/02/15
3943,2015-06-02,06/02/15
3944,2015-06-02,06/02/15
3945,2015-06-02,06/02/15
3946,2015-06-02,06/02/15
